,pull_request_id,numEmoji,merged
355,14533806,2,0
356,14544303,1,0
357,14551546,1,0
358,14555844,1,0
359,14232813,1,0
360,14539996,2,0
361,14564253,1,0
362,14574222,1,1
363,14383710,1,0
364,14581176,2,1
365,14581816,2,0
366,14520284,1,0
367,14560905,1,0
368,14587753,1,1
369,14587734,1,1
370,14545007,1,1
371,14571349,1,0
372,14598531,3,0
373,14573339,1,0
374,14335826,1,0
375,14616660,1,0
376,14008121,1,0
377,14627022,1,0
378,14430450,1,0
379,10986480,1,0
380,14626751,1,0
381,14666022,1,0
382,14455188,1,0
383,14615236,1,0
384,14442166,1,0
385,14666317,1,0
386,14723452,1,0
387,14689262,1,0
388,14758511,2,1
389,14554694,2,0
390,14769101,1,0
391,14786110,2,0
392,14750668,1,0
393,14616046,1,0
394,14794511,1,0
395,14706639,1,0
396,14502924,1,0
397,14822837,1,0
398,14798030,1,0
399,14822148,1,1
400,14757449,1,0
401,14851766,1,0
402,14859508,1,0
403,14858933,1,0
404,14867713,1,1
405,14856100,1,0
406,14829841,1,0
407,14888007,1,0
408,14891715,2,1
409,14896398,2,1
410,13375266,34,1
411,14898349,1,0
412,14736330,1,0
413,14931926,1,0
414,14626706,1,0
415,14953773,1,1
416,14957497,6,0
417,14983236,1,0
418,14886628,1,1
419,14979060,1,0
420,12592882,1,0
421,15004749,1,0
422,15009563,1,1
423,14822783,1,0
424,14953610,1,0
425,15014985,2,1
426,15006163,1,0
427,11749197,1,0
428,15021184,1,1
429,15036686,1,1
430,14994948,1,0
431,15042720,1,0
432,14984217,2,0
433,14977052,1,1
434,15036076,1,0
435,14946658,1,1
436,15066544,1,1
437,15002330,1,1
438,14928734,1,0
439,15079180,1,1
440,15092750,1,1
441,14995982,3,1
442,15004184,1,1
443,14826471,2,1
444,15133232,1,1
445,15143711,1,1
446,15147966,1,1
447,15104324,1,0
448,15137186,1,0
449,15137870,1,1
450,15160144,1,0
451,15001193,1,1
452,15175053,1,1
453,15075341,1,1
454,15171758,1,1
455,15146926,1,1
456,15157758,3,1
457,15180155,1,1
458,15157759,1,1
459,15156435,1,1
460,15161277,1,0
461,15182440,1,0
