,res_time
275,22.368000000000002
276,0.684
277,3.714
278,0.252
279,1.566
280,1.266
281,81.582
282,2.052
283,1.3499999999999999
284,9.402000000000001
285,3.264
286,20.363999999999997
287,1.3980000000000001
288,0.864
289,11.964
290,0.132
291,0.23399999999999999
292,1.152
293,2.0820000000000003
294,1.314
295,4.752000000000001
296,9.468
297,1511.232
298,137.934
299,12.018
300,1.134
301,5.184
302,0.666
303,10.584
304,325.302
305,2.982
306,2.814
307,4.716
308,1.368
309,0.432
310,1.248
311,1.086
312,0.114
313,4.9319999999999995
314,5429.718
315,12.468
316,1.914
317,2.436
318,2080.9320000000002
319,1.098
320,88.932
321,2.298
322,9.066
323,5.934
324,11.868
325,2481.6
326,0.252
327,2.034
328,6.497999999999999
329,2382.8340000000003
330,0.9480000000000001
331,1231.014
332,5.747999999999999
333,3262.002
334,1.098
335,2.898
336,2.382
337,1.7999999999999998
338,0.114
339,46.782
340,440.034
341,0.7320000000000001
342,0.864
343,1.752
344,4.1819999999999995
345,0.768
346,34.35
347,0.966
348,34.332
349,0.882
350,0.018
351,72.186
352,1.764
353,1.614
354,0.9840000000000001
355,344.25
356,1182.168
357,26.052
358,1.218
359,3.084
360,6.516
361,5.832
362,5.232
363,2.1479999999999997
364,1.416
365,0.7979999999999999
366,5.532
367,0.618
368,2.184
369,117.86399999999999
370,179.718
371,2.514
372,3.336
373,0.402
374,50.082
375,3.168
376,20.382
377,3875.3819999999996
378,10.164
379,1.536
380,0.7979999999999999
381,0.36600000000000005
382,12.564
383,0.252
384,1.248
385,29.964000000000002
386,324.36600000000004
387,310.134
388,7.248
389,2.1
390,0.9840000000000001
391,162.852
392,1.218
393,0.414
394,37.014
395,11.484
396,0.3
397,1.686
398,190.434
399,0.7140000000000001
400,12.486
401,2.052
402,6.216
403,1.614
404,57.15
405,6.666
406,45.486
407,0.44999999999999996
408,3.036
409,0.23399999999999999
410,2.802
411,3.018
412,4.002
413,19089.282
414,7.686
415,2.4659999999999997
416,145.068
417,2.118
418,0.28200000000000003
419,3646.8179999999998
420,1.1640000000000001
421,4.782
422,336.936
423,1.482
424,4.098
425,0.786
426,1.602
427,0.23399999999999999
428,3.402
429,3.084
430,2.5020000000000002
431,2.916
432,0.618
433,350.382
434,0.534
435,26.148
436,1.0139999999999998
437,0.486
438,0.168
439,24.636000000000003
440,2.214
441,0.9179999999999999
442,2.802
443,5.568
444,64.002
445,0.486
446,18.966
447,111.132
448,0.36600000000000005
449,41.634
450,1.416
451,0.432
452,7.835999999999999
453,2.616
454,2.064
455,1.65
456,4.482
457,6.864
458,0.28200000000000003
459,38664.450000000004
460,0.168
461,7.6979999999999995
462,0.384
463,6.7860000000000005
464,5.3999999999999995
465,20.316000000000003
466,35.699999999999996
467,0.9179999999999999
468,464.016
469,123.03600000000002
470,5.55
471,43.716
472,191.85
473,20.183999999999997
474,4.566
475,6.684
476,1.914
477,12.984
478,0.7020000000000001
479,0.7979999999999999
480,26.184
481,0.684
482,4665.534
483,3307.7639999999997
484,41.1
485,3.564
486,0.966
487,8.148
488,41.664
489,0.9179999999999999
490,37.416000000000004
491,1.9500000000000002
492,0.552
493,1.332
494,2.4
495,11.502
496,7.452
497,1.8659999999999999
498,2.8859999999999997
499,5.184
500,0.768
501,4.368
502,2.0820000000000003
503,0.786
504,0.46799999999999997
505,32.352000000000004
506,47.652
507,741.414
508,1.632
509,21.665999999999997
510,2.016
511,2.286
512,0.966
513,6.936
514,5.784
515,1.668
516,93.114
517,8.748000000000001
518,3.198
519,7.914
520,0.486
521,1.9680000000000002
522,10.331999999999999
523,5763.450000000001
524,9.732000000000001
525,4.1819999999999995
526,2.952
527,10120.848
528,0.552
529,167.118
530,112.998
531,1.3499999999999999
532,7.548
533,36.084
534,104.33399999999999
535,1.536
536,4.752000000000001
537,1.416
538,3.3
539,0.114
540,0.486
541,3.8160000000000003
542,0.7140000000000001
543,2954.586
544,78.18599999999999
545,2520.216
546,0.75
547,10035.864
548,1.818
549,5.502000000000001
550,2.25
551,1.932
552,6923.652
553,6243.1140000000005
554,6.486
555,1.584
556,3.618
557,0.618
558,2.832
559,9.582
560,0.7979999999999999
561,2.598
562,1.602
563,1.5
564,0.8520000000000001
565,4.8
566,0.75
567,0.3
568,0.636
569,3.8519999999999994
570,0.7320000000000001
571,0.9179999999999999
572,6.414
573,9.75
574,0.084
575,74.55
576,2.634
