,sentiment_label,time_interval
418,0,18.75
419,-1,1.386
420,1,3.186
421,1,1.482
422,1,347.93399999999997
423,0,1.3499999999999999
424,1,643.7339999999999
425,0,1.9500000000000002
426,-1,991.932
427,0,4.566
428,1,0.216
429,0,17132.165999999997
430,1,4.386
431,1,1.668
432,0,29.784
433,1,1.098
434,0,0.216
435,1,56.418
436,1,0.636
437,1,0.432
438,1,10.734
439,1,0.348
440,1,0.516
441,1,0.036
442,1,36.552
443,1,2.064
444,-1,1.848
445,1,2.052
446,-1,1.518
447,1,3.786
448,-1,4.416
449,1,54.234
450,-1,193.698
451,1,0.9480000000000001
452,1,1106.184
453,1,15.15
454,1,23.567999999999998
455,0,1310.286
456,0,0.36600000000000005
457,0,308.466
458,1,3.084
459,1,12.617999999999999
460,1,718.668
461,1,1.266
462,1,1.1159999999999999
463,1,0.5820000000000001
464,1,0.264
465,1,0.684
466,1,1.2
467,1,0.75
468,1,1.1159999999999999
469,1,1.002
470,1,0.5820000000000001
471,1,0.186
472,1,0.44999999999999996
473,1,0.216
474,1,0.336
475,1,0.186
476,1,0.186
477,1,2.184
478,1,0.28200000000000003
479,1,0.5820000000000001
480,1,0.7320000000000001
481,1,0.816
482,1,0.168
483,1,0.198
484,1,0.684
485,1,0.516
486,1,0.7020000000000001
487,1,0.516
488,1,0.44999999999999996
489,1,0.618
490,1,3070.386
491,1,0.186
492,1,1.134
493,1,0.198
494,1,0.7020000000000001
495,1,0.46799999999999997
496,-1,13.284
497,1,0.534
498,-1,0.666
499,-1,9.15
500,-1,20.166
501,-1,0.048
502,1,0.348
503,1,116.118
504,1,8730.083999999999
505,0,203.052
506,-1,143.616
507,1,823.8000000000001
508,1,1041.114
509,0,10.386000000000001
510,1,27.486
511,1,3.648
512,1,0.9179999999999999
513,0,396.066
514,1,5.568
515,1,0.3
516,-1,74.352
517,1,4.482
518,1,11.886
519,0,0.768
520,0,8.766
521,0,5.136
522,1,5081.298
523,0,14.081999999999999
524,-1,4.35
525,0,11.484
526,-1,50.268
527,0,4.085999999999999
528,0,78.18599999999999
529,1,907.05
530,1,4.901999999999999
531,1,0.402
532,-1,7.782000000000001
533,1,2.8680000000000003
534,0,1029.282
535,0,1.068
536,1,28.932000000000002
537,0,47.352000000000004
538,1,1239.3000000000002
539,0,0.384
540,-1,10.134
541,0,6686.466
542,1,0.186
543,1,0.186
544,0,0.348
545,1,0.264
546,0,0.636
547,-1,0.066
548,1,56.232
549,-1,23.814
550,1,1.482
551,1,6.468
552,0,12.468
