,res_time
262,2.832
263,4.614
264,0.486
265,0.8999999999999999
266,11.052
267,0.534
268,1.932
269,0.816
270,939.7860000000001
271,0.318
272,0.168
273,0.516
274,0.018
275,6.918
276,14.934000000000001
277,0.114
278,1.602
279,370.014
280,1.602
281,0.402
282,1.266
283,8.166
284,1.9980000000000002
285,0.486
286,0.966
287,0.018
288,1.236
289,1.9500000000000002
290,1.284
291,0.28200000000000003
292,961.3320000000001
293,24.666
294,946.182
295,0.102
296,0.384
297,2651.214
298,2268.402
299,0.0
300,0.7020000000000001
301,31.248
302,0.46799999999999997
303,1.134
304,148.716
305,18.864
306,0.084
307,0.15
308,1.05
309,0.534
310,0.864
311,0.264
312,3.252
313,0.552
314,9579.114000000001
315,2.298
316,1.614
317,29.382
318,2.484
319,3.4979999999999998
320,0.384
321,1.368
322,0.5640000000000001
323,0.168
324,0.114
325,31.302000000000003
326,0.534
327,16.302
328,1.314
329,0.216
330,0.786
331,0.018
332,4.548
333,0.132
334,5.982
335,82.248
336,1598.052
337,2.016
338,290.4
339,0.414
340,73.76400000000001
341,0.23399999999999999
342,0.684
343,103.164
344,0.0
345,17.964
346,1.5
347,58.368
348,83.982
349,197.664
350,1201.134
351,0.36600000000000005
352,2.532
353,2.184
354,11.616
355,3.684
356,47.598
357,24.786
358,28.752000000000002
359,18.432
360,28.932000000000002
361,9.498
362,2.916
363,13.584
364,182.298
365,0.0
366,0.44999999999999996
367,0.102
368,0.0
369,0.084
370,0.018
371,17.286
372,322.332
373,0.168
374,1.3499999999999999
375,487.218
376,0.648
377,1.632
378,0.066
379,3.8519999999999994
380,30.882
381,0.048
382,17.183999999999997
383,202.614
384,7.986
385,37.098
386,1214.484
387,0.7140000000000001
388,0.0
389,4.152
390,388.236
391,0.516
392,6.348000000000001
393,26.598000000000003
394,22.451999999999998
395,2.964
396,387.882
397,1.386
398,733.7819999999999
399,1.368
400,0.0
401,59.717999999999996
402,1.9859999999999998
403,15.402
404,2.814
405,1.3980000000000001
406,34.086000000000006
407,0.0
408,1.086
409,2.418
410,1522.9859999999999
411,1.782
412,6.048
413,4.848
414,173146.818
415,0.648
416,1.152
417,462.9
418,1320.384
419,0.834
420,9.198
421,4.65
422,1.134
423,1.9500000000000002
424,10.098
425,17.7
426,3.834
427,10.152
428,361.116
429,3155.982
430,6.731999999999999
431,1.098
432,1.752
433,7.248
434,1.068
435,18.666
436,0.066
437,2.6999999999999997
438,0.618
439,2.586
440,18909.965999999997
441,4.452
442,0.28200000000000003
443,1.548
444,0.216
445,8.784
446,3.0
447,2.0820000000000003
448,13.968
449,547.35
450,109.182
451,0.36600000000000005
452,1.386
453,1.248
454,50210.700000000004
455,127.71600000000001
456,913.8000000000001
457,0.882
458,7.002
459,0.402
460,0.186
461,3.168
462,0.9359999999999999
463,7.134
464,25.998
465,2.0820000000000003
466,13.866
467,6945.864
468,2.4480000000000004
469,3.714
470,4.968
471,37.464
472,0.5640000000000001
473,0.15
474,0.6
475,7.182
476,0.7020000000000001
477,24.786
478,1.584
479,22.014
480,81.18599999999999
481,0.102
482,10.032
483,48.467999999999996
484,5.1659999999999995
485,1.248
486,2.964
487,1.716
488,0.132
489,1.9859999999999998
490,7.848
491,0.0
492,1.302
493,0.9840000000000001
494,1.566
495,0.7979999999999999
496,0.768
497,1.266
498,3.1020000000000003
499,0.75
500,93.564
501,0.486
502,0.252
503,1.698
504,8.064
505,0.0
506,1040.7839999999999
507,0.5820000000000001
508,0.3
509,20.232
510,54.666000000000004
511,1.65
512,4.914
513,0.834
514,12.102
515,17.952
516,1.0139999999999998
517,0.432
518,0.348
519,13.686
520,8896.716
521,0.666
522,0.264
523,14.466000000000001
524,9.347999999999999
525,1.548
526,0.348
527,0.7320000000000001
528,0.0
529,0.5820000000000001
530,2.5500000000000003
531,0.336
532,0.0
533,1.7999999999999998
534,1.752
535,50.465999999999994
536,1.068
537,4.518000000000001
538,2569.416
539,174.636
540,3.834
541,2.718
542,0.44999999999999996
543,10374.516
544,22.968
545,17.886
546,49.032000000000004
547,10.716000000000001
548,5.502000000000001
549,0.186
550,3.5340000000000003
551,0.666
552,0.864
